Auteur,Degré,Clustering,Centralité Intermédiarité,Excentricité,Domaine_Dominant
Yoshua Bengio,400.5,0.0183850449274446,0.0701521262526512,3.0,Machine Learning
Songyou Peng,59.5,0.0855937311633514,3.585220838431269e-05,4.0,Machine Learning
David A. Williams,2.5,0.0222222222222222,3.784377440751996e-06,4.0,Informatique (Autre)
Anand Mishra,18.5,0.090707145501666,6.287255018833093e-06,4.0,Machine Learning
Mingyang Zhuang,6.0,0.0398550724637681,4.230823549278284e-07,4.0,Vision par Ordinateur
V. Del Favero,5.5,0.0043290043290043,7.389339202745759e-07,4.0,Informatique (Autre)
D. Shaddock,2.0,0.0357142857142857,7.073708729876671e-08,4.0,Informatique (Autre)
Paul C. Canfield,1.0,0.0,5.824679849553149e-09,4.0,Physique (Autre)
Deepak Ramachandran,59.5,0.0850264156295429,0.0002108030748786,4.0,Machine Learning
Dale Li,2.0,0.0,2.373107435005295e-07,4.0,Informatique (Autre)
Maria Carrasquilla,6.5,0.0523076923076923,2.441182004986331e-06,4.0,Maths (Autre)
Lantao Mei,58.0,0.0882221227048813,1.7322878193226643e-05,4.0,Machine Learning
Steven Hahn,2.5,0.1333333333333333,9.938644325302448e-06,4.0,Machine Learning
Jesujoba Alabi,10.5,0.2020905923344947,3.520738687257108e-07,4.0,IA
D. Papoulias,6.0,0.0652173913043478,5.512933967111167e-07,4.0,Vision par Ordinateur
Chris Kelso,3.0,0.0151515151515151,7.225330591609236e-06,4.0,Maths (Autre)
I. Fukunaga,3.5,0.0,3.770283001358621e-07,4.0,Informatique (Autre)
L. Sabau-Graziati,1.0,0.0,2.7115759166918e-06,4.0,Machine Learning
Henna Nandwani,2.0,0.1071428571428571,4.96970908869798e-10,4.0,Robotique
Cheng-en Liu,2.0,0.0357142857142857,7.742088428130955e-07,4.0,Autre
Markus Kliegl,5.0,0.1,4.307962342409155e-07,4.0,IA
Niuniu Li,6.0,0.2101449275362318,4.0945391077684696e-08,4.0,Traitement du Langage
Pierre Royer,19.0,0.0333333333333333,5.94135417486541e-05,4.0,Informatique (Autre)
T. McRae,15.5,0.0280274986779481,6.961185590625973e-06,4.0,Machine Learning
Hui Tian,2.0,0.0357142857142857,4.861207685280533e-07,4.0,Réseaux de Neurones
Song-Chun Zhu,5.0,0.0789473684210526,2.614083996377304e-06,4.0,Traitement du Langage
Vera Axelrod,58.0,0.0882221227048813,1.7322880012216046e-05,4.0,Machine Learning
Aaron Phillips,58.0,0.0882221227048813,1.7322878193226643e-05,4.0,Machine Learning
E. Polini,10.0,0.0448717948717948,2.167219690818456e-06,4.0,Informatique (Autre)
R. Chiba,3.5,0.0,3.770283001358621e-07,4.0,Informatique (Autre)
G. Quéméner,8.0,0.0584677419354838,2.124388629454188e-06,4.0,Physique (Autre)
Xiaojin Sun,1.0,0.0,5.325089347252288e-08,4.0,IA
Yong Zhu,1.0,0.1666666666666666,0.0,4.0,Maths (Autre)
Lewis Chiang,58.0,0.0882221227048813,1.7322880012216046e-05,4.0,Machine Learning
J. Kandra,4.0,0.05,2.238405443222291e-07,4.0,Physique (Autre)
J. Kos,1.0,0.0,9.88723627415311e-07,4.0,Vision par Ordinateur
Qiqi Yan,58.0,0.0882221227048813,1.7322874555247836e-05,4.0,Machine Learning
